Id;Category;Requirement
GRID-1;Remote management of meters;A meter stores manufacturer information
GRID-2;Remote management of meters;A meter stores screen display information
GRID-3;Remote management of meters;A meter stores a voltage ratio
GRID-4;Remote management of meters;A meter stores a current ratio
GRID-5;Remote management of meters;A meter has a firmware
GRID-6;Remote management of meters;A meter stores network information
GRID-7;Remote management of meters;A meter can send its manufacturer information
GRID-8;Remote management of meters;A meter can modify and send its network information
GRID-9;Remote management of meters;A meter can modify and send its voltage ratio
GRID-10;Remote management of meters;A meter can modify and send its current ratio
GRID-11;Remote management of meters;A meter can modify and send its display information
GRID-12;Remote management of meters;A meter can update its firmware
GRID-13;Remote management of meters;A meter can reconnect or disconnect a client to the electrical network
GRID-14;Remote management of meters;A meter has a power threshold
GRID-15;Remote management of meters;A power threshold is measured as a percentage
GRID-16;Remote management of meters;A meter stores reconnect or disconnect requests scheduled for a specific time
GRID-17;Remote management of meters;A meter can be instantly disconnected/reconnected to the low voltage network
GRID-18;Remote management of meters;A meter can be scheduled to be disconnected/reconnected to the low voltage network at a given time
GRID-19;Remote management of meters;A meter has different types of contracts
GRID-20;Remote management of meters;A contract has an activity calendar
GRID-21;Remote management of meters;A contract has a power limit
GRID-22;Remote management of meters;The power limit of a contract can be disabled
GRID-23;Remote management of meters;The power limit of a contract is measured in watts (W)
GRID-24;Remote management of meters;A meter can modify the power limit of a contract
GRID-25;Remote management of meters;A meter can modify the activity calendar of a contract
GRID-26;Remote management of meters;A meter measures the active energy import in each phase
GRID-27;Remote management of meters;A meter measures the active energy export in each phase
GRID-28;Remote management of meters;Active energy is measured in watt hour (Wh) or kilowatt hour (kWh)
GRID-29;Remote management of meters;A meter measures different types of reactive energy in each phase
GRID-30;Remote management of meters;Reactive energy is measured in volt-ampere reactive hour (VArh) or kilovolt-ampere reactive hour (kVArh)
GRID-31;Remote management of meters;A meter stores incremental and absolute values for each active and reactive energy measure
GRID-32;Remote management of meters;A meter stores a timestamp for each active and reactive energy measure
GRID-33;Remote management of meters;A meter can send an hourly incremental load profile
GRID-34;Remote management of meters;An hourly incremental load profile is represented by the incremental values of the measures performed by the meter each hour
GRID-35;Remote management of meters;A meter can send a reduced hourly incremental load profile
GRID-36;Remote management of meters;A reduced hourly incremental load profile is represented by the incremental active energy values measured by the meter each hour
